uttrance,intent,entities
Remind me to water the garden at 5 PM,set_reminder,"{""task"":""water the garden"", ""datetime"":""5 PM""}"
Wake me up at 6:30 tomorrow,set_reminder,"{""task"":""wake up"", ""datetime"":""6:30 tomorrow""}"
Set a reminder to take out the trash tonight,set_reminder,"{""task"":""take out the trash"", ""datetime"":""tonight""}"
Don't let me forget to submit the report at noon,set_reminder,"{""task"":""submit the report"", ""datetime"":""noon""}"
Remind me about my meeting at 3 PM,set_reminder,"{""task"":""meeting"", ""datetime"":""3 PM""}"
Remind me to check the mailbox every day,set_recurring,"{""task"":""check the mailbox"", ""datetime"":""every day""}"
Remind me to meditate every morning,set_recurring,"{""task"":""meditate"", ""datetime"":""every morning""}"
Set a weekly reminder to pay bills,set_recurring,"{""task"":""pay bills"", ""datetime"":""weekly""}"
Remind me to call grandma every Sunday,set_recurring,"{""task"":""call grandma"", ""datetime"":""every Sunday""}"
Water plants on weekdays,set_recurring,"{""task"":""water plants"", ""datetime"":""weekdays""}"
What time is it now?,time_now,{}
Tell me the current time,time_now,{}
Give me the time,time_now,{}
"What’s the time, Chapo?",time_now,{}
Time please,time_now,{}
What's the weather like outside?,get_weather,{}
Do I need a jacket today?,get_weather,{}
Is it going to rain?,get_weather,{}
How hot is it today?,get_weather,{}
Give me today’s forecast,get_weather,{}
Play some rock music,play_music,"{""genre"":""rock""}"
Start my workout playlist,play_music,"{""genre"":""workout""}"
Can you play some relaxing sounds?,play_music,"{""genre"":""relaxing""}"
I want to hear classical music,play_music,"{""genre"":""classical""}"
Play upbeat tunes,play_music,"{""genre"":""upbeat""}"
Turn off all the lights,turn_off_lights,"{""location"":""all""}"
Turn off the living room lights,turn_off_lights,"{""location"":""living room""}"
Switch off the kitchen light,turn_off_lights,"{""location"":""kitchen""}"
Turn on the hallway lights,turn_on_lights,"{""location"":""hallway""}"
Illuminate the study,turn_on_lights,"{""location"":""study""}"
Hi Chapo,casual_checkin,{}
How are you Chapo?,casual_checkin,{}
What’s up?,casual_checkin,{}
Hey buddy,casual_checkin,{}
How’s your day going?,casual_checkin,{}
Tell me something funny,tell_joke,{}
Make me laugh,tell_joke,{}
Say a joke,tell_joke,{}
I need a laugh,tell_joke,{}
Entertain me,tell_joke,{}
I’m feeling down today,sentiment_report,"{""sentiment"":""negative""}"
I’m super happy!,sentiment_report,"{""sentiment"":""positive""}"
I feel okay,sentiment_report,"{""sentiment"":""neutral""}"
Not my best day,sentiment_report,"{""sentiment"":""negative""}"
It’s been a good day,sentiment_report,"{""sentiment"":""positive""}"
Mock utterance 45,mock_intent,{}
Mock utterance 46,mock_intent,{}
Mock utterance 47,mock_intent,{}
Mock utterance 48,mock_intent,{}
Mock utterance 49,mock_intent,{}
Mock utterance 50,mock_intent,{}
Mock utterance 51,mock_intent,{}
Mock utterance 52,mock_intent,{}
Mock utterance 53,mock_intent,{}
Mock utterance 54,mock_intent,{}
Mock utterance 55,mock_intent,{}
Mock utterance 56,mock_intent,{}
Mock utterance 57,mock_intent,{}
Mock utterance 58,mock_intent,{}
Mock utterance 59,mock_intent,{}
Mock utterance 60,mock_intent,{}
Mock utterance 61,mock_intent,{}
Mock utterance 62,mock_intent,{}
Mock utterance 63,mock_intent,{}
Mock utterance 64,mock_intent,{}
Mock utterance 65,mock_intent,{}
Mock utterance 66,mock_intent,{}
Mock utterance 67,mock_intent,{}
Mock utterance 68,mock_intent,{}
Mock utterance 69,mock_intent,{}
Mock utterance 70,mock_intent,{}
Mock utterance 71,mock_intent,{}
Mock utterance 72,mock_intent,{}
Mock utterance 73,mock_intent,{}
Mock utterance 74,mock_intent,{}
Mock utterance 75,mock_intent,{}
Mock utterance 76,mock_intent,{}
Mock utterance 77,mock_intent,{}
Mock utterance 78,mock_intent,{}
Mock utterance 79,mock_intent,{}
Mock utterance 80,mock_intent,{}
Mock utterance 81,mock_intent,{}
Mock utterance 82,mock_intent,{}
Mock utterance 83,mock_intent,{}
Mock utterance 84,mock_intent,{}
Mock utterance 85,mock_intent,{}
Mock utterance 86,mock_intent,{}
Mock utterance 87,mock_intent,{}
Mock utterance 88,mock_intent,{}
Mock utterance 89,mock_intent,{}
Mock utterance 90,mock_intent,{}
Mock utterance 91,mock_intent,{}
Mock utterance 92,mock_intent,{}
Mock utterance 93,mock_intent,{}
Mock utterance 94,mock_intent,{}
Mock utterance 95,mock_intent,{}
Mock utterance 96,mock_intent,{}
Mock utterance 97,mock_intent,{}
Mock utterance 98,mock_intent,{}
Mock utterance 99,mock_intent,{}
Mock utterance 100,mock_intent,{}
Mock utterance 101,mock_intent,{}
Mock utterance 102,mock_intent,{}
Mock utterance 103,mock_intent,{}
Mock utterance 104,mock_intent,{}
Mock utterance 105,mock_intent,{}
Mock utterance 106,mock_intent,{}
Mock utterance 107,mock_intent,{}
Mock utterance 108,mock_intent,{}
Mock utterance 109,mock_intent,{}
Mock utterance 110,mock_intent,{}
Mock utterance 111,mock_intent,{}
Mock utterance 112,mock_intent,{}
Mock utterance 113,mock_intent,{}
Mock utterance 114,mock_intent,{}
Mock utterance 115,mock_intent,{}
Mock utterance 116,mock_intent,{}
Mock utterance 117,mock_intent,{}
Mock utterance 118,mock_intent,{}
Mock utterance 119,mock_intent,{}
Mock utterance 120,mock_intent,{}
Mock utterance 121,mock_intent,{}
Mock utterance 122,mock_intent,{}
Mock utterance 123,mock_intent,{}
Mock utterance 124,mock_intent,{}
Mock utterance 125,mock_intent,{}
Mock utterance 126,mock_intent,{}
Mock utterance 127,mock_intent,{}
Mock utterance 128,mock_intent,{}
Mock utterance 129,mock_intent,{}
Mock utterance 130,mock_intent,{}
Mock utterance 131,mock_intent,{}
Mock utterance 132,mock_intent,{}
Mock utterance 133,mock_intent,{}
Mock utterance 134,mock_intent,{}
Mock utterance 135,mock_intent,{}
Mock utterance 136,mock_intent,{}
Mock utterance 137,mock_intent,{}
Mock utterance 138,mock_intent,{}
Mock utterance 139,mock_intent,{}
Mock utterance 140,mock_intent,{}
Mock utterance 141,mock_intent,{}
