uttrance,intent,entities
What time is it?,time_now,{}
What's the weather like?,get_weather,{}
Play some music,play_music,"{""genre"": ""any""}"
Turn on the lights,turn_on_lights,"{""location"": ""living room""}"
Turn off the kitchen lights,turn_off_lights,"{""location"": ""kitchen""}"
Remind me to take my medicine at 8 PM,set_reminder,"{""task"": ""take my medicine"", ""datetime"": ""8 PM""}"
Wake me up at 7 AM,set_reminder,"{""task"": ""wake up"", ""datetime"": ""7 AM""}"
Set a recurring reminder to water the plants every Monday,set_recurring,"{""task"": ""water the plants"", ""datetime"": ""every Monday""}"
How am I doing today?,sentiment_report,"{""sentiment"": ""neutral""}"
I'm feeling great,sentiment_report,"{""sentiment"": ""positive""}"
I'm feeling down,sentiment_report,"{""sentiment"": ""negative""}"
Tell me a joke,tell_joke,{}
Good morning,smart_greetings,{}
Good night,smart_greetings,{}
Open the blinds,control_blinds,"{""action"": ""open""}"
Close the blinds,control_blinds,"{""action"": ""close""}"
What's on my calendar today?,check_calendar,"{""datetime"": ""today""}"
Add dentist appointment at 3 PM,add_calendar_event,"{""event"": ""dentist appointment"", ""datetime"": ""3 PM""}"
What's the temperature?,check_temperature,{}
Set thermostat to 72 degrees,set_temperature,"{""temperature"": ""72""}"
Remind me to feed the dog at 6 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""6 PM""}"
Remind me to feed the dog at 7 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""7 PM""}"
Remind me to feed the dog at 8 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""8 PM""}"
Remind me to feed the dog at 9 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""9 PM""}"
Remind me to feed the dog at 10 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""10 PM""}"
Remind me to feed the dog at 11 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""11 PM""}"
Remind me to feed the dog at 12 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""12 PM""}"
Remind me to feed the dog at 13 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""13 PM""}"
Remind me to feed the dog at 14 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""14 PM""}"
Remind me to feed the dog at 15 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""15 PM""}"
Remind me to feed the dog at 16 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""16 PM""}"
Remind me to feed the dog at 17 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""17 PM""}"
Remind me to feed the dog at 18 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""18 PM""}"
Remind me to feed the dog at 19 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""19 PM""}"
Remind me to feed the dog at 20 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""20 PM""}"
Remind me to feed the dog at 21 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""21 PM""}"
Remind me to feed the dog at 22 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""22 PM""}"
Remind me to feed the dog at 23 PM,set_reminder,"{""task"": ""feed the dog"", ""datetime"": ""23 PM""}"
Turn on the bedroom lights,turn_on_lights,"{""location"": ""bedroom""}"
Turn off the bedroom lights,turn_off_lights,"{""location"": ""bedroom""}"
Turn on the bathroom lights,turn_on_lights,"{""location"": ""bathroom""}"
Turn off the bathroom lights,turn_off_lights,"{""location"": ""bathroom""}"
Turn on the garage lights,turn_on_lights,"{""location"": ""garage""}"
Turn off the garage lights,turn_off_lights,"{""location"": ""garage""}"
Turn on the hallway lights,turn_on_lights,"{""location"": ""hallway""}"
Turn off the hallway lights,turn_off_lights,"{""location"": ""hallway""}"
Turn on the office lights,turn_on_lights,"{""location"": ""office""}"
Turn off the office lights,turn_off_lights,"{""location"": ""office""}"
Remind me to take vitamins in the morning,set_reminder,"{""task"": ""take vitamins"", ""datetime"": ""morning""}"
Remind me to check the oven in the morning,set_reminder,"{""task"": ""check the oven"", ""datetime"": ""morning""}"
Remind me to call dad in the morning,set_reminder,"{""task"": ""call dad"", ""datetime"": ""morning""}"
Remind me to start the coffee machine in the morning,set_reminder,"{""task"": ""start the coffee machine"", ""datetime"": ""morning""}"
Remind me to charge my phone in the morning,set_reminder,"{""task"": ""charge my phone"", ""datetime"": ""morning""}"
Hello,smart_greetings,{}
Hi,smart_greetings,{}
Hey,smart_greetings,{}
What's up,smart_greetings,{}
Yo Chapo,smart_greetings,{}
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
Turn off the lights,turn_off_lights,"{""location"": ""default""}"
