uttrance,intent,entities
Play some relaxing jazz on Spotify,play_music,"{""platform"": ""Spotify"", ""genre"": ""jazz""}"
Play Believe on Spotify,play_music,"{""song"": ""Believe"", ""platform"": ""Spotify""}"
Turn on the living room TV and switch to Netflix,control_appliance,"{""appliance"": ""TV"", ""service"": ""Netflix"", ""location"": ""living room""}"
Let’s play a trivia game about world history,play_trivia,"{""topic"": ""world history""}"
Come online,restart_bot,"{}"
Show me how to cook spaghetti bolognese step by step,step_by_step_cooking,"{""dish"": ""spaghetti bolognese""}"
Recommend a movie based on my mood today,recommend_movie,"{""mood"": ""current""}"
I feel a bit low right now,detect_mood,"{""emotion"": ""low""}"
Talk to me like a motivational coach,empathetic_response_generator,"{""tone"": ""motivational""}"
Give me some motivation,motivational_quote,"{""tone"": ""motivational""}"
Log that I did yoga for 30 minutes today,fitness_guidance,"{""activity"": ""yoga"", ""duration"": ""30 minutes""}"
Start a 5 minute guided meditation session,guided_meditation,"{""duration"": ""5 minutes""}"
Help me relax and fall asleep faster,help_sleep,"{""goal"": ""fall asleep""}"
Remind me to take out the trash at 8 PM,set_reminder,"{""task"": ""take out the trash"", ""datetime"": ""8 PM""}"
Add bananas to my shopping list,add_to_grocery_list,"{""items"": [""bananas"", ""cereal""]}"
Notify me when it’s 10 minutes before my meeting,notifications,"{""alert"": ""10 minutes before meeting""}"
Start a 25 minute focus session,task_management,"{""task"": ""focus session"", ""duration"": ""25 minutes""}"
Start my morning routine at 10 a.m,start_routine,"{""datetime"": ""7 AM"", ""routine"": ""morning""}"
How many days until my birthday on August 12,time_now,"{""date"": ""August 12""}"
Log my £20 lunch expense under food,log_expense,"{""amount"": ""20"", ""category"": ""food""}"
Is the house secure right now?,surveillance_patrol,"{""query"": ""house security""}"
I have a sore throat. What should I do?,read_gp_report,"{""symptom"": ""sore throat""}"
Remind me to take my vitamin D every morning,track_medication,"{""medication"": ""vitamin D"", ""schedule"": ""every morning""}"
What is your battery level right now?,battery_status,"{}"
Give me a full status report,get_device_status,"{}"
Tell me a bit about yourself, tell_me_about_you,"{}"
Install a feature that tracks water intake,custom_skill_loader,"{""feature"": ""track water intake""}"
Are you connected to the internet?,connectivity_status,"{}"
Turn off the kitchen lights,turn_off_lights,"{""location"": ""kitchen""}"
What is the capital of France?,get_fun_fact,"{""query"": ""capital of france""}"
I am feeling sad Can we talk?,chat_emotion,"{""emotion"": ""overwhelmed""}"
how is the traffic from wembley to heathrow airport,check_traffic,"{""destination""}"
Describe what you see through your camera,describe_surroundings,"{}"
Start a video call with Dad,start_video_call,"{""contact"": ""Dad""}"
Put dentist appointment on my calendar,calendar_event,"{""event"": ""dentist appointment""}"
Schedule lunch with John tomorrow,calendar_event,"{""event"": ""lunch"", ""datetime"": ""tomorrow""}"
Put dentist appointment on my calendar,calendar_event,"{""event"": ""dentist appointment""}"
Create calendar event for yoga at 6,calendar_event,"{""event"": ""yoga"", ""datetime"": ""6""}"
Put dentist appointment on my calendar,calendar_event,"{""event"": ""dentist appointment""}"
Create calendar event for yoga at 6,calendar_event,"{""event"": ""yoga"", ""datetime"": ""6""}"
Add meeting to calendar at 2 PM,calendar_event,"{""event"": ""meeting"", ""datetime"": ""2 PM""}"
Put dentist appointment on my calendar,calendar_event,"{""event"": ""dentist appointment""}"
Put dentist appointment on my calendar,calendar_event,"{""event"": ""dentist appointment""}"
Add meeting to calendar at 2 PM,calendar_event,"{""event"": ""meeting"", ""datetime"": ""2 PM""}"
Add meeting to calendar at 2 PM,calendar_event,"{""event"": ""meeting"", ""datetime"": ""2 PM""}"
Put dentist appointment on my calendar,calendar_event,"{""event"": ""dentist appointment""}"
Create calendar event for yoga at 6,calendar_event,"{""event"": ""yoga"", ""datetime"": ""6""}"
Add meeting to calendar at 2 PM,calendar_event,"{""event"": ""meeting"", ""datetime"": ""2 PM""}"
